id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1362155215726731267,1362155215726731267,2021-02-17 21:41:25 UTC,2021-02-17,21:41:25,+0000,711286012819931136,edilzapinheiro,Edilza Pinheiro,,"Pq somos obrigados a comprar sacolas plásticas nos supermercados, visto que as sacolas são patrocinadas pelo governo do Pará @helderbarbalho ??? Injusto isso. Tudo bem que o meio ambiente agradece, mas isso já é demais. Estamos pagando 2X pela sacola. #Pará #VCnoJL1 #VCnoJL2  https://t.co/61mdkAOnNr",pt,"[{'screen_name': 'helderbarbalho', 'name': 'helder barbalho', 'id': '151653693'}]",[],['https://pbs.twimg.com/media/EudY8xSWgAMsDbV.jpg'],0,0,1,"['pará', 'vcnojl1', 'vcnojl2']",[],https://twitter.com/edilzapinheiro/status/1362155215726731267,False,,1,https://pbs.twimg.com/media/EudY8xSWgAMsDbV.jpg,,,,,,,[],,,,
1362068855460401157,1362068855460401157,2021-02-17 15:58:15 UTC,2021-02-17,15:58:15,+0000,2896584603,im_vickygui,𝑉𝑖𝑐𝑘𝑦 🌻🦋🌌,,"#VCnoJL1 faço tratamento da Fibromialgia à 2 anos, tenho 22 anos, e desejo que todos que são portadores dessa doença, se cuidem, façam exercícios físicos, se alimentem bem, pois se não há cura, no mínimo temos o conforto! ❤🦋",pt,[],[],[],0,0,0,['vcnojl1'],[],https://twitter.com/im_vickygui/status/1362068855460401157,False,,0,,,,,,,,[],,,,
1362068649125773312,1362068649125773312,2021-02-17 15:57:26 UTC,2021-02-17,15:57:26,+0000,944891600,carlaqafonso,Carla Afonso,,"rabo do peru não teve, mas a distribuição de sopa rolou 🦃 eu amo a vila sorriso #VCnoJL1  https://t.co/ygL3HmkXU0",pt,[],[],['https://pbs.twimg.com/media/EucJ9wPXAAI3KDG.jpg'],2,0,13,['vcnojl1'],[],https://twitter.com/carlaqafonso/status/1362068649125773312,False,,1,https://pbs.twimg.com/media/EucJ9wPXAAI3KDG.jpg,,,,,,,[],,,,
1362068605337292804,1362068605337292804,2021-02-17 15:57:16 UTC,2021-02-17,15:57:16,+0000,84848379,ana_lurocha,Ana Lu 🅙,,Esse macacão da Gabriella tá tuuuudo! Kero um igual #VCnoJL1,pt,[],[],[],0,0,3,['vcnojl1'],[],https://twitter.com/ana_lurocha/status/1362068605337292804,False,,0,,,,,,,,[],,,,
1362068271743303683,1362068271743303683,2021-02-17 15:55:56 UTC,2021-02-17,15:55:56,+0000,587768796,gilberto_geo,Gilberto_Palheta 2020,,É Priscila o Rabo do Peru seguiu os protocolos sanitários e ficou em casa 👏🏻👏🏻👏🏻 #VCnoJL1  https://t.co/T5P6WmPfPS,pt,[],[],['https://pbs.twimg.com/media/EucJ331XAAEn8wc.jpg'],0,0,0,['vcnojl1'],[],https://twitter.com/Gilberto_Geo/status/1362068271743303683,False,,1,https://pbs.twimg.com/media/EucJ331XAAEn8wc.jpg,,,,,,,[],,,,
1362067894679592963,1362067894679592963,2021-02-17 15:54:26 UTC,2021-02-17,15:54:26,+0000,3089870375,dessamartinssz,Andressa Martins,,"Minha mãe tem fibromialgia a 10 anos. Ela tem muitas dores e não consegue dormir muito bem sentindo ferroadas pelo corpo e nos pés. O que fazer para que ela consiga ter uma qualidade de vida melhor? Ela também tem sensibilidade a claridade e aos sons, é normal? #VCnoJL1",pt,[],[],[],0,0,0,['vcnojl1'],[],https://twitter.com/dessamartinssz/status/1362067894679592963,False,,0,,,,,,,,[],,,,
1362065932156338176,1362065932156338176,2021-02-17 15:46:38 UTC,2021-02-17,15:46:38,+0000,1300429915540553729,ribeirorosiara,Rosiara Ribeiro Ribeiro,,"#VCnoJL1 Boa tarde, se o idoso tiver 82.anos vacina?",pt,[],[],[],0,0,0,['vcnojl1'],[],https://twitter.com/RibeiroRosiara/status/1362065932156338176,False,,0,,,,,,,,[],,,,
1362065773796147200,1362065773796147200,2021-02-17 15:46:01 UTC,2021-02-17,15:46:01,+0000,1351842958979571714,neillsidonio,Neill Sidonio,,#VCnoJL1 a fibromialgia pode desaparecer com o passar dos anos!,pt,[],[],[],0,0,0,['vcnojl1'],[],https://twitter.com/NeillSidonio/status/1362065773796147200,False,,0,,,,,,,,[],,,,
1362065719324737540,1362065719324737540,2021-02-17 15:45:48 UTC,2021-02-17,15:45:48,+0000,90212340,jeff0ficial,Jefferson Rodrigues,,"#VCnojl1 Alô #COSANPA esse serviço não termina mais? O buraco só aumenta é o transtorno é imenso, o asfalto esta cedendo mais a cada dia, a população já está indignada aqui na pass, 3 de Outubro com Ac, Dr. Freitas ja passam de 3 semanas é o buraco a céu aberto aqui.  https://t.co/zDuya6BG43",pt,[],[],"['https://pbs.twimg.com/media/EucHhCoXIAIE0k7.jpg', 'https://pbs.twimg.com/media/EucHiU7XUAEjvV-.jpg', 'https://pbs.twimg.com/media/EucHjKlWYAAaTgu.jpg']",0,0,0,"['vcnojl1', 'cosanpa']",[],https://twitter.com/jeff0ficial/status/1362065719324737540,False,,1,https://pbs.twimg.com/media/EucHhCoXIAIE0k7.jpg,,,,,,,[],,,,
1362064170443800576,1362064170443800576,2021-02-17 15:39:38 UTC,2021-02-17,15:39:38,+0000,1351582341936918536,marlene41604248,Marlene Ribeiro da Silva,,"#VCnoJL1 Minha filha tem 14 anos e foi diagnosticada com Fibromialgia, é normal em adolescente? Qual seria o tratamento adequado?",pt,[],[],[],0,0,0,['vcnojl1'],[],https://twitter.com/Marlene41604248/status/1362064170443800576,False,,0,,,,,,,,[],,,,
